1	500	1	3	1	1
0.5	500	1	3	1	1
1.5	500	1	3	1	1
1	500	2	3	1	1
0.5	500	2	3	1	1
1.5	500	2	3	1	1
1	500	3	3	1	1
0.5	500	3	3	1	1
1.5	500	3	3	1	1
1	500	4	3	1	1
0.5	500	4	3	1	1
1.5	500	4	3	1	1
1	500	5	3	1	1
0.5	500	5	3	1	1
1.5	500	5	3	1	1
1	500	6	3	1	1
0.5	500	6	3	1	1
1.5	500	6	3	1	1
1	500	7	3	1	1
0.5	500	7	3	1	1
1.5	500	7	3	1	1
1	500	8	3	1	1
0.5	500	8	3	1	1
1.5	500	8	3	1	1
1	500	9	3	1	1
0.5	500	9	3	1	1
1.5	500	9	3	1	1
1	500	10	3	1	1
0.5	500	10	3	1	1
1.5	500	10	3	1	1
1	500	11	3	1	1
0.5	500	11	3	1	1
1.5	500	11	3	1	1
1	500	12	3	1	1
0.5	500	12	3	1	1
1.5	500	12	3	1	1
1	500	13	3	1	1
0.5	500	13	3	1	1
1.5	500	13	3	1	1
1	500	14	3	1	1
0.5	500	14	3	1	1
1.5	500	14	3	1	1
1	500	15	3	1	1
0.5	500	15	3	1	1
1.5	500	15	3	1	1
1	500	16	3	1	1
0.5	500	16	3	1	1
1.5	500	16	3	1	1
1	500	17	3	1	1
0.5	500	17	3	1	1
1.5	500	17	3	1	1
1	500	18	3	1	1
0.5	500	18	3	1	1
1.5	500	18	3	1	1
1	500	19	3	1	1
0.5	500	19	3	1	1
1.5	500	19	3	1	1
1	500	20	3	1	1
0.5	500	20	3	1	1
1.5	500	20	3	1	1
1	500	21	3	1	1
0.5	500	21	3	1	1
1.5	500	21	3	1	1
1	500	22	3	1	1
0.5	500	22	3	1	1
1.5	500	22	3	1	1
1	500	23	3	1	1
0.5	500	23	3	1	1
1.5	500	23	3	1	1
1	500	24	3	1	1
0.5	500	24	3	1	1
1.5	500	24	3	1	1
1	500	25	3	1	1
0.5	500	25	3	1	1
1.5	500	25	3	1	1
1	500	26	3	1	1
0.5	500	26	3	1	1
1.5	500	26	3	1	1
1	500	27	3	1	1
0.5	500	27	3	1	1
1.5	500	27	3	1	1
1	500	28	3	1	1
0.5	500	28	3	1	1
1.5	500	28	3	1	1
1	500	29	3	1	1
0.5	500	29	3	1	1
1.5	500	29	3	1	1
1	500	30	3	1	1
0.5	500	30	3	1	1
1.5	500	30	3	1	1
1	500	31	3	1	1
0.5	500	31	3	1	1
1.5	500	31	3	1	1
1	500	32	3	1	1
